"product_name";"product_brand";"product_package_has";"product_macro_for";"product_kcal";"product_protein";"product_fat";"product_carbs";"comment_optional"
" Czekolada deserowa z nadzieniem o smaku malinowym";"Allegro";100.0;100.0;454.0;3.2;21.0;62.0;"Link: https://pl.openfoodfacts.org/product/5907443601823/czekolada-deserowa-z-nadzieniem-o-smaku-malinowym-allegro"
" Kubuœ - jab³ko, banan, brzoskwinia , marchew ";"Kubuœ";850.0;100.0;57.0;0.4;0.2;13.1;"Link: https://kubus.pl/produkt/kubus-banan-jablko-brzoskwnia-850/"
"7 Days Cake - czekoladowe";"7 Days";32.0;100.0;449.0;6.0;20.0;60.0;""
"7 Days Cake - wanilia";"7 Days";32.0;100.0;449.0;6.0;20.0;60.0;""
"7 Days Cream & Cookies";"7 Days";60.0;100.0;485.0;6.0;30.0;47.0;""
"7 Days Cream & Cookies Super Max";"7 Days";110.0;100.0;489.0;6.0;30.0;48.0;""
"7 Days Double czekolada i kokos";"7 Days";110.0;100.0;452.0;6.0;28.0;43.0;""
"7 Days Double czekolada i wanilia";"7 Days";110.0;100.0;447.0;6.0;28.0;42.0;""
"7 Days Max czekoladowy";"7 Days";85.0;100.0;374.0;5.1;23.8;34.85;""
"7 Days Max wanilia";"7 Days";110.0;100.0;447.0;6.0;28.0;42.0;""
"7 Days z nadzieniem kakaowym";"7 Days";60.0;100.0;452.0;7.0;28.0;42.0;""
"7 Up";"Pepsi Cola General Bottlers Poland Sp. z o.o.";0.0;100.0;29.0;0.0;0.0;7.0;"Link: https://online.makro.pl/shop/pv/BTY-X548428/0032/0021/7UP-Nap%C3%B3j-gazowany-0-5-l-12-sztuk"
"7 Up Free";"Pepsi Cola General Bottlers Poland Sp. z o.o.";0.0;100.0;2.0;0.0;0.0;0.0;""
"Agrest";"owoce";0.0;100.0;44.0;0.8;0.15;8.8;"Link: https://www.tabele-kalorii.pl/kalorie,Agrest.html"
"Almette - jogurtowy ";"Hochland";150.0;100.0;260.0;7.1;24.0;3.8;""
"Almette - ogórkiem i zio³ami";"Hochland";150.0;100.0;239.0;7.0;21.0;6.0;""
"Almette - zio³owe";"Hochland";150.0;100.0;230.0;6.8;20.0;5.6;"W tym cukry - 3.6"
"Almette serek - ze szczypiorkiem i cebul¹";"Hochalnd";150.0;100.0;242.0;7.0;22.0;4.0;""
"Almette œmietankowy";"Hochland";150.0;100.0;256.0;6.7;24.0;3.2;""
"Almette z pomidorami ";"Hochland";150.0;100.0;238.0;7.2;21.0;5.0;""
"Almette z rzodkiewkami ";"Hochland";150.0;100.0;256.0;6.6;24.0;3.5;""
"Arbuz";"owoce";0.0;100.0;30.0;0.61;0.15;7.15;"/www.tabele-kalorii.pl/kalorie,Arbuz.html"
"Bagietka - BBQ Strips";"Tomcio Paluch";255.0;100.0;263.0;9.7;12.0;28.0;""
"Bagietka - kebab";"Tomcio Paluch";215.0;100.0;273.0;8.2;13.0;29.0;"Produkt z ¯abki"
"Bagietka - nuggetsy ";"Tomcio Paluch";240.0;100.0;262.0;7.3;15.0;23.0;""
"Bagietka czosnkowa";"¯abka";165.0;100.0;267.0;5.0;14.0;29.0;"/www.zabka.pl/wypiekane-pieczywo/"
"Banan";"";0.0;100.0;89.0;1.09;0.33;22.84;""
"Barszcz czerwony z makaronem - domowy";"Domowy";0.0;100.0;94.54;3.31;0.33;19.28;"Domowy"
"Baton - Lion";"Nestle";42.0;100.0;492.0;5.2;23.1;65.1;"Link: https://e-delikatesydwojka.pl/produkt/nestle-lion-baton-chocolate-42g/"
"Baton bia³kowy Crunchy Caramel";"BioTechUSA";50.0;100.0;397.0;30.0;16.0;37.0;"Link: https://shop.biotechusa.pl/collections/batony-napoje/products/baton-bialkowy-protein-dessert-bar-50-g"
"Baton Lion White";"Lion";42.0;100.0;192.0;5.7;22.6;66.2;"Link: https://www.frisco.pl/pid,4873/n,lion-baton-white/stn,product"
"Baton Mars";"Mars Polska Sp. z o.o. - Sochaczew";47.0;100.0;452.0;3.7;17.0;70.3;"Link: https://www.tabele-kalorii.pl/kalorie,Baton-Mars-Mars.html"
"Baton Snickers";"Mars Polska Sp. z o.o. - Sochaczew";50.0;100.0;485.0;8.6;23.0;60.2;""
"Biala czekolada melite";"Meltie";100.0;100.0;568.0;6.3;36.0;55.0;"/www.fitatu.com/catalog/pl/biala-czekolada-melite--102218015"
"Big Milk Wafelek";"Algida";98.0;100.0;224.0;3.6;11.0;26.0;"Dane z opakowania"
"Bigos z miêsem i kie³bas¹";"Pudliszki";500.0;100.0;142.0;4.3;11.0;6.0;""
